"ns","times","ks","value"
"632","2000","totPop",25.777758469978
"632","2000","ruralPop",1
"632","2010","totPop",19.7712916865722
"632","2010","ruralPop",1
"632","2020","totPop",21.356331591862
"632","2020","ruralPop",1
"632","2030","totPop",22.2739858216445
"632","2030","ruralPop",1
"632","2040","totPop",22.941371497152
"632","2040","ruralPop",1
"632","2050","totPop",23.0247943485769
"632","2050","ruralPop",1
"632","2060","totPop",23.0247943485769
"632","2060","ruralPop",1
"632","2070","totPop",22.7745257943019
"632","2070","ruralPop",1
"632","2080","totPop",22.1071401187944
"632","2080","ruralPop",0.241509417828906
"632","2090","totPop",21.272908740437
"632","2090","ruralPop",0.239215710825847
"632","2100","totPop",20.3552530786008
"632","2100","ruralPop",0.110655739434911
"652","2000","totPop",24.1927185646882
"652","2000","ruralPop",1
"652","2010","totPop",19.6044445516684
"652","2010","ruralPop",1
"652","2020","totPop",20.9392159026834
"652","2020","ruralPop",1
"652","2030","totPop",21.9402929838908
"652","2030","ruralPop",1
"652","2040","totPop",22.6911015108233
"652","2040","ruralPop",1
"652","2050","totPop",22.6911015108233
"652","2050","ruralPop",1
"652","2060","totPop",22.6911015108233
"652","2060","ruralPop",1
"652","2070","totPop",22.2739858216445
"652","2070","ruralPop",1
"652","2080","totPop",21.6900244296158
"652","2080","ruralPop",0.557692317849783
"652","2090","totPop",20.7723687677796
"652","2090","ruralPop",0.353413624439783
"652","2100","totPop",19.8547145379971
"652","2100","ruralPop",0.222689089873747
"741","2000","totPop",41.1936798559237
"741","2000","ruralPop",1
"741","2010","totPop",28.8031629021537
"741","2010","ruralPop",1
"741","2020","totPop",30.2764694053886
"741","2020","ruralPop",1
"741","2030","totPop",31.5435151529639
"741","2030","ruralPop",1
"741","2040","totPop",32.162303995603
"741","2040","ruralPop",1
"741","2050","totPop",32.6926957328308
"741","2050","ruralPop",0.233438510671806
"741","2060","totPop",32.619029117828
"741","2060","ruralPop",0.233965660249751
"741","2070","totPop",32.0591728590432
"741","2070","ruralPop",0.206341904905467
"741","2080","totPop",31.3077858291871
"741","2080","ruralPop",0.0451764598984239
"741","2090","totPop",30.4680006822798
"741","2090","ruralPop",0
"741","2100","totPop",29.4072182194643
"741","2100","ruralPop",0
"756","2000","totPop",46.8977062624978
"756","2000","ruralPop",1
"756","2010","totPop",33.1203421543689
"756","2010","ruralPop",1
"756","2020","totPop",34.7173299168614
"756","2020","ruralPop",1
"756","2030","totPop",36.2142879116464
"756","2030","ruralPop",1
"756","2040","totPop",37.0005689350753
"756","2040","ruralPop",1
"756","2050","totPop",37.703103814865
"756","2050","ruralPop",0.0196822470853987
"756","2060","totPop",37.6472733452821
"756","2060","ruralPop",0.0122346834522794
"756","2070","totPop",36.9226384570315
"756","2070","ruralPop",0.0018271164609491
"756","2080","totPop",36.1189104368162
"756","2080","ruralPop",0
"756","2090","totPop",35.2523732281698
"756","2090","ruralPop",0
"756","2100","totPop",33.7996143717767
"756","2100","ruralPop",0
"770","2000","totPop",46.8042191235768
"770","2000","ruralPop",1
"770","2010","totPop",32.3455468583461
"770","2010","ruralPop",1
"770","2020","totPop",33.90633194527
"770","2020","ruralPop",1
"770","2030","totPop",35.2944638907804
"770","2030","ruralPop",1
"770","2040","totPop",36.0569004955854
"770","2040","ruralPop",1
"770","2050","totPop",36.6204410525012
"770","2050","ruralPop",0.0725681789546376
"770","2060","totPop",36.5748606074244
"770","2060","ruralPop",0.0216389744464221
"770","2070","totPop",35.8345233659102
"770","2070","ruralPop",0.00836416288473265
"770","2080","totPop",35.0278875840279
"770","2080","ruralPop",0.00473185667505119
"770","2090","totPop",34.219870581567
"770","2090","ruralPop",0.00375378010821704
"770","2100","totPop",32.8427880687435
"770","2100","ruralPop",0.00138783437447834
"771","2000","totPop",25.0562647031978
"771","2000","ruralPop",1
"771","2010","totPop",13.9062269548229
"771","2010","ruralPop",1
"771","2020","totPop",14.1925840954244
"771","2020","ruralPop",1
"771","2030","totPop",14.4073521812967
"771","2030","ruralPop",1
"771","2040","totPop",14.3805062089661
"771","2040","ruralPop",1
"771","2050","totPop",14.2910198137474
"771","2050","ruralPop",0.744520972298407
"771","2060","totPop",14.0046625195318
"771","2060","ruralPop",0.670287537023944
"771","2070","totPop",13.9062270316299
"771","2070","ruralPop",0.411196916453557
"771","2080","totPop",13.4408959484857
"771","2080","ruralPop",0.264980017020878
"771","2090","totPop",13.0113600839693
"771","2090","ruralPop",0.155433281912643
"771","2100","totPop",12.5012865328824
"771","2100","ruralPop",0.114531142128928
"790","2000","totPop",46.7009033880034
"790","2000","ruralPop",1
"790","2010","totPop",33.0831216349923
"790","2010","ruralPop",1
"790","2020","totPop",34.8444607181903
"790","2020","ruralPop",1
"790","2030","totPop",36.2522062709613
"790","2030","ruralPop",1
"790","2040","totPop",37.1759699325594
"790","2040","ruralPop",1
"790","2050","totPop",37.752769998382
"790","2050","ruralPop",0.0064976930943839
"790","2060","totPop",37.7461401396031
"790","2060","ruralPop",0
"790","2070","totPop",36.9814937715544
"790","2070","ruralPop",0
"790","2080","totPop",36.1792778243939
"790","2080","ruralPop",0
"790","2090","totPop",35.3593818744581
"790","2090","ruralPop",0
"790","2100","totPop",33.9936255790327
"790","2100","ruralPop",0
"791","2000","totPop",32.5843293509481
"791","2000","ruralPop",1
"791","2010","totPop",18.8704988255875
"791","2010","ruralPop",1
"791","2020","totPop",19.4969061267499
"791","2020","ruralPop",1
"791","2030","totPop",19.82129499108
"791","2030","ruralPop",1
"791","2040","totPop",19.9667102584989
"791","2040","ruralPop",0.73277310462921
"791","2050","totPop",20.000268587991
"791","2050","ruralPop",0.548657714609122
"791","2060","totPop",19.6646933578069
"791","2060","ruralPop",0.379977245005175
"791","2070","totPop",19.4297910039061
"791","2070","ruralPop",0.203223935063021
"791","2080","totPop",18.7921982969773
"791","2080","ruralPop",0.200595231745519
"791","2090","totPop",18.2105354991436
"791","2090","ruralPop",0.153562666814287
"791","2100","totPop",17.6624294946615
"791","2100","ruralPop",0.158328049500488
"806","2000","totPop",40.2257169089712
"806","2000","ruralPop",1
"806","2010","totPop",28.2123666786222
"806","2010","ruralPop",1
"806","2020","totPop",29.9781257435458
"806","2020","ruralPop",1
"806","2030","totPop",30.8974697269103
"806","2030","ruralPop",1
"806","2040","totPop",31.9648815047481
"806","2040","ruralPop",1
"806","2050","totPop",32.2168170108838
"806","2050","ruralPop",0.0670188038691618
"806","2060","totPop",32.1681977726515
"806","2060","ruralPop",0.0280983876219369
"806","2070","totPop",31.5162589659068
"806","2070","ruralPop",0.0110090381447953
"806","2080","totPop",30.802441477226
"806","2080","ruralPop",0.0107619399877127
"806","2090","totPop",30.1195633295133
"806","2090","ruralPop",0.0110059373380131
"806","2100","totPop",29.2156890166327
"806","2100","ruralPop",0.0108169400348234
"807","2000","totPop",50.9179087299253
"807","2000","ruralPop",1
"807","2010","totPop",36.1526108909469
"807","2010","ruralPop",1
"807","2020","totPop",38.4792643864924
"807","2020","ruralPop",1
"807","2030","totPop",39.9110516256405
"807","2030","ruralPop",1
"807","2040","totPop",40.8954042004496
"807","2040","ruralPop",0.536105044740887
"807","2050","totPop",41.4323221109197
"807","2050","ruralPop",0
"807","2060","totPop",41.1638631556846
"807","2060","ruralPop",0
"807","2070","totPop",40.7164315636262
"807","2070","ruralPop",0
