"ns","lu.from","lu.to","value"
"632","Forest","Cropland",0
"652","Forest","Cropland",0
"741","Forest","Cropland",0
"756","Forest","Cropland",0
"770","Forest","Cropland",0
"771","Forest","Cropland",0
"790","Forest","Cropland",0
"791","Forest","Cropland",0
"806","Forest","Cropland",0
"807","Forest","Cropland",0
"818","Forest","Cropland",0
"819","Forest","Cropland",0
"830","Forest","Cropland",0
"844","Forest","Cropland",0
"919","Forest","Cropland",0
"932","Forest","Cropland",0
"945","Forest","Cropland",0
"959","Forest","Cropland",0
"972","Forest","Cropland",0
"994","Forest","Cropland",0
"1020","Forest","Cropland",0
"1048","Forest","Cropland",0
"1049","Forest","Cropland",0
"1075","Forest","Cropland",0
"1100","Forest","Cropland",0
"1121","Forest","Cropland",0
"1122","Forest","Cropland",0
"1143","Forest","Cropland",0
"1144","Forest","Cropland",0
"1145","Forest","Cropland",0
"12073","Forest","Cropland",1
"12136","Forest","Cropland",1
"12137","Forest","Cropland",1
"12138","Forest","Cropland",1
"12140","Forest","Cropland",1
"12142","Forest","Cropland",0
"12198","Forest","Cropland",0
"12199","Forest","Cropland",1
"12200","Forest","Cropland",1
"12201","Forest","Cropland",1
"12202","Forest","Cropland",1
"12203","Forest","Cropland",0
"12262","Forest","Cropland",0
"12263","Forest","Cropland",0
"12264","Forest","Cropland",1
"12265","Forest","Cropland",1
"12266","Forest","Cropland",1
"12267","Forest","Cropland",1
"12268","Forest","Cropland",1
"12269","Forest","Cropland",0
"12321","Forest","Cropland",1
"12322","Forest","Cropland",1
"12323","Forest","Cropland",0
"12324","Forest","Cropland",1
"12325","Forest","Cropland",1
"12326","Forest","Cropland",1
"12378","Forest","Cropland",1
"12379","Forest","Cropland",1
"12380","Forest","Cropland",1
"12381","Forest","Cropland",1
"12382","Forest","Cropland",1
"12383","Forest","Cropland",1
"12384","Forest","Cropland",1
"12423","Forest","Cropland",1
"12424","Forest","Cropland",1
"12426","Forest","Cropland",1
"12427","Forest","Cropland",1
"12428","Forest","Cropland",1
"12429","Forest","Cropland",1
"12430","Forest","Cropland",1
"12469","Forest","Cropland",0
"12470","Forest","Cropland",0
"12472","Forest","Cropland",1
"12473","Forest","Cropland",0
"12474","Forest","Cropland",1
"12475","Forest","Cropland",1
"12477","Forest","Cropland",1
"12478","Forest","Cropland",1
"12479","Forest","Cropland",1
"12480","Forest","Cropland",0
"12481","Forest","Cropland",1
"12528","Forest","Cropland",0
"12529","Forest","Cropland",0
"12531","Forest","Cropland",1
"12532","Forest","Cropland",0
"12533","Forest","Cropland",1
"12534","Forest","Cropland",1
"12535","Forest","Cropland",1
"12536","Forest","Cropland",1
"12537","Forest","Cropland",1
"12538","Forest","Cropland",1
"12540","Forest","Cropland",1
"12541","Forest","Cropland",1
"12542","Forest","Cropland",0
"12586","Forest","Cropland",0
"12587","Forest","Cropland",1
"12588","Forest","Cropland",0
"12590","Forest","Cropland",1
"12591","Forest","Cropland",1
