"ns","ks","value"
"632","Intercept",1
"632","Cropland",0.000756248627264579
"632","Forest",0.114843277453052
"632","OtherLand",3.45876659689061
"632","Pasture",1.75322387702907
"632","Plantations",0
"632","Urban",0
"632","MeanTemp",28.0779
"632","MeanPrecip",509.251
"632","HarvWood",0.527
"632","HarvCost",100
"632","GRASYLD",7.436
"632","meanTimeToMarket",312.85
"632","totPop",43.7345966938147
"632","ruralPop",1
"632","Altitude",0
"632","Slope",0
"632","Soil2_Medium",0
"632","Soil3_Heavy",0
"632","Soil4_Stony",0
"632","MEANYLD",0
"632","HI_MEAN",0
"632","LI_MEAN",0
"632","IR_MEAN",0
"632","SS_MEAN",0
"652","Intercept",1
"652","Cropland",0.0729986066884069
"652","Forest",1.38800814590035
"652","OtherLand",2.38055753514529
"652","Pasture",1.48602571226595
"652","Plantations",0
"652","Urban",0
"652","MeanTemp",28.0779
"652","MeanPrecip",509.251
"652","HarvWood",0.554
"652","HarvCost",113.333
"652","GRASYLD",5.968
"652","meanTimeToMarket",303.44
"652","totPop",44.1100009572809
"652","ruralPop",1
"652","Altitude",0
"652","Slope",0
"652","Soil2_Medium",0
"652","Soil3_Heavy",0
"652","Soil4_Stony",0
"652","MEANYLD",0
"652","HI_MEAN",0
"652","LI_MEAN",0
"652","IR_MEAN",0
"652","SS_MEAN",0
"741","Intercept",1
"741","Cropland",0.320647461548677
"741","Forest",1.9296400655806
"741","OtherLand",7.05246417086466
"741","Pasture",5.77799028974599
"741","Plantations",0
"741","Urban",0.00247801226007366
"741","MeanTemp",28.0516
"741","MeanPrecip",46.4516
"741","HarvWood",0.457
"741","HarvCost",100
"741","GRASYLD",6.578
"741","meanTimeToMarket",723.47
"741","totPop",66.497737220567
"741","ruralPop",1
"741","Altitude",0
"741","Slope",0
"741","Soil2_Medium",0
"741","Soil3_Heavy",0
"741","Soil4_Stony",0
"741","MEANYLD",0.09375
"741","HI_MEAN",0.105111111
"741","LI_MEAN",0.087333333
"741","IR_MEAN",0.116777778
"741","SS_MEAN",0.065777778
"756","Intercept",1
"756","Cropland",2.28111161334855
"756","Forest",8.50532577960624
"756","OtherLand",40.5566412811903
"756","Pasture",44.1756122044998
"756","Plantations",0
"756","Urban",0.00836912135509658
"756","MeanTemp",28.6764
"756","MeanPrecip",274.997
"756","HarvWood",0.569
"756","HarvCost",109.988
"756","GRASYLD",6.347
"756","meanTimeToMarket",483.623
"756","totPop",74.2093392175997
"756","ruralPop",1
"756","Altitude",0
"756","Slope",0
"756","Soil2_Medium",0
"756","Soil3_Heavy",0
"756","Soil4_Stony",0
"756","MEANYLD",0.10675
"756","HI_MEAN",0.118333333
"756","LI_MEAN",0.1
"756","IR_MEAN",0.132444444
"756","SS_MEAN",0.076222222
"770","Intercept",1
"770","Cropland",1.51608087426602
"770","Forest",15.1290593422823
"770","OtherLand",38.9178000596435
"770","Pasture",24.8808997238082
"770","Plantations",0
"770","Urban",0
"770","MeanTemp",26.9298
"770","MeanPrecip",57.8536
"770","HarvWood",0.595
"770","HarvCost",112.604
"770","GRASYLD",6.36
"770","meanTimeToMarket",302.464
"770","totPop",72.3859030101
